club_name,league_name
Manchester United,Premier League
Arsenal,Premier League
Chelsea,Premier League
Manchester City,Premier League
Tottenham,Premier League
Liverpool,Premier League
West Ham,Premier League
Leicester,Premier League
Crystal Palace,Premier League
Everton,Premier League
Fulham,Premier League
Wolverhampton,Premier League
Southampton,Premier League
Bournemouth,Premier League
Watford,Premier League
Newcastle,Premier League
Burnley,Premier League
Huddersfield,Premier League
Brighton,Premier League
Cardiff,Premier League
Bayern Munich,Bundesliga
Borussia Dortmund,Bundesliga
Wolfsburg,Bundesliga
Schalke 04,Bundesliga
Bayer Leverkusen,Bundesliga
Stuttgart,Bundesliga
Leipzig,Bundesliga
Mönchengladbach,Bundesliga
Eintracht Frankfurt,Bundesliga
Werder Bremen,Bundesliga
Hoffenheim,Bundesliga
Hannover,Bundesliga
Hertha Berlin,Bundesliga
Mainz,Bundesliga
Augsburg,Bundesliga
Freiburg,Bundesliga
Düsseldorf,Bundesliga
Nürnberg,Bundesliga
Juventus,Serie A
AC Milan,Serie A
Napoli,Serie A
Roma,Serie A
Inter Milan,Serie A
Fiorentina,Serie A
Lazio,Serie A
Bologna,Serie A
Torino,Serie A
Atalanta,Serie A
Sampdoria,Serie A
Genoa,Serie A
SPAL,Serie A
Cagliari,Serie A
Parma,Serie A
Udinese,Serie A
Sassuolo,Serie A
Chievo Verona,Serie A
Empoli,Serie A
Frosinone,Serie A
Barcelona,La Liga
Atlético Madrid,La Liga
Real Madrid,La Liga
Levante,La Liga
Athletic Club,La Liga
Sevilla,La Liga
Valencia,La Liga
Leganés,La Liga
Villarreal,La Liga
Girona,La Liga
Real Sociedad,La Liga
Espanyol,La Liga
Celta Vigo,La Liga
Real Betis,La Liga
Alaves,La Liga
Rayo Vallecano,La Liga
Huesca,La Liga
Eibar,La Liga
Valladolid,La Liga
Getafe,La Liga
PSG,Ligue 1
Marseille,Ligue 1
Monaco,Ligue 1
Lyon,Ligue 1
Rennes,Ligue 1
St-Étienne,Ligue 1
Nice,Ligue 1
Lille,Ligue 1
Nantes,Ligue 1
Bordeaux,Ligue 1
Toulouse,Ligue 1
Nîmes,Ligue 1
Amiens,Ligue 1
Guingamp,Ligue 1
Strasbourg,Ligue 1
Montpellier,Ligue 1
Reims,Ligue 1
Dijon,Ligue 1
Caen,Ligue 1
Angers,Ligue 1
Abha,Saudi Pro League
Al-Ahli,Saudi Pro League
Al-Ain,Saudi Pro League
Al-Batin,Saudi Pro League
Al-Ettifaq,Saudi Pro League
Al-Faisaly,Saudi Pro League
Al-Fateh,Saudi Pro League
Al-Hilal,Saudi Pro League
Al-Ittihad,Saudi Pro League
Al-Nassr,Saudi Pro League
Al-Qadsiah,Saudi Pro League
Al-Ra'ed,Saudi Pro League
Al-Shabab,Saudi Pro League
Al-Taawoun,Saudi Pro League
Al-Wehda,Saudi Pro League
Damac,Saudi Pro League